Year,SB_Bio,GB_Bio,3_yr_MA,3_yr_MA_SE,3_yr_MA_CI,CI_overall,SB_SE,SB_CI,GB_SE,GB_CI
1999,40651.90909,411545.4107,,,,301344.0808,6815.994966,13359.35013,153681.0791,301214.915
2000,167942.5,275693.617,,,,216512.6015,52071.67645,102060.4858,97629.93968,191354.6818
2001,195252.7359,208922.926,433336.3663,121213.2963,237578.0608,194877.5002,93037.35199,182353.2099,35391.72003,69367.77126
2002,116403.8212,339227,434480.8667,93201.484,182674.9086,136634.6243,30906.40029,60576.54456,62367.44293,122240.1881
2003,105779,256847.9871,407477.8234,80312.929,157413.3408,140727.8981,27764.67611,54418.76517,66160.10935,129673.8143
2004,98692,333113,416687.6028,70200.20367,137592.3992,135414.6752,30003.76919,58807.38762,62284.3745,122077.374
2005,20064,219321.1,344605.6957,70342.95767,137872.197,137474.0178,9271.144949,18171.4441,69536.57978,136291.6964
2006,30865,253973.7023,318676.2674,63879.767,125204.3433,102724.337,5810.23908,11388.0686,52086.77798,102090.0848
2007,45845.57759,443783,337950.7933,79204.25367,155240.3372,225522.6568,28215.42504,55302.23309,111500.6563,218541.2863
2008,20758,216135,337120.0933,75960.13867,148881.8718,118398.6216,19252.0079,37733.93548,57382.49465,112469.6895
2009,77503,324204,376076.1925,83663.652,163980.7579,148020.9954,20349.85872,39885.7231,72761.34982,142612.2457
2010,46887.8,207735.7,297741.1667,56682.70867,111098.109,66874.71,10564.94869,20707.29943,32337.70443,63381.90068
2011,122584.3,258091.6,345668.8,65985.83267,129332.232,173100.9907,23316.2531,45699.85608,85113.10029,166821.6766
2012,160605.7,226153.2,340686.1,54219.83933,106270.8851,78836.95456,22495.12743,44090.44977,33247.04424,65164.2067
2013,66182.8,208825.1,347480.9,65488.997,128358.4341,133137.3571,9597.809242,18811.70611,67218.45933,131748.1803
2014,191001.6,189884.9,347551.1,63092.888,123662.0605,159011.8698,49852.7307,97711.35217,63792.36008,125033.0258
2015,249224.7512,140298.4281,348472.5264,65915.36767,129194.1206,95433.135,32311.52378,63330.5866,36616.55382,71768.44548
2016,100785.8111,163360.7949,344852.0951,58593.486,114843.2326,90084.69288,24548.38921,48114.84285,38757.97212,75965.62535
2017,141966,165792,320475.9284,50016.191,98031.73436,108577.3752,31552.65965,61843.2129,45414.48281,89012.3863
2018,139650.5562,94869.47848,268808.2136,54971.03933,107743.2371,124567.6432,58656.57605,114966.8891,24430.07467,47882.94636
2019,133331.7549,147137.8146,274249.2014,53860.99333,105567.5469,83557.6224,18889.28875,37023.00594,37383.25478,73271.17938
2020,179059,103357,265801.868,50202.65333,99128.35187,89259.79,25910.87,50785.3052,37451.07,73404.0972
2021,72512.31,137145.9,257514.5931,53029.65561,123189.8375,196752.1,36416,71375.36,70982.02,139124.7592
2022,256012.3,76558,274881.5033,53029.65561,142006.13,140006.5,68961.56,135164.6576,11734.95,23000.502
